Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.1249,8.8078,22.6557,2.79157,32,32,0,0,,199.765,796.193,159.285,68.0419,61.9619,20.265,43.504,0.3639,7.1108,242.836,10.9405,1.95999,5.58192,0.913,0.304996,0.05464,0.2503559924662113,0.213639,1.01514,0.288137,0.772552,0.423915,,2.78281,5.88859,5.79487,6.760000228881836,,,,,,,1153.6,5.768,1073,5.365,4.08,3.66,3.38,3.17,2.97,2.79,2.61,2.42,2.17,3.54,3.36,3.24,3.14,3.04,2.95,2.86,2.75,2.61,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.5488,9.068,21.2598,2.92097,32,32,0,0,,193.982,785.668,158.111,69.2307,62.9571,17.5661,51.6545,0.5028,7.1724,236.968,10.9944,2.39657,4.58755,0.815,0.301613,0.065746,0.2358671948313713,0.217532,1.08137,0.297572,0.758939,0.443775,,2.77894,5.6829,5.74043,10.329999923706055,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.29,3.84,3.55,3.32,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.41,3.29,3.19,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.6159,8.9302,20.7285,3.01991,32,32,0,0,,192.855,773.898,157.522,70.8265,64.7117,19.4998,49.9141,0.493,6.0093,238.635,11.1364,2.32935,4.78092,0.91,0.308355,0.064497,0.24385782331228256,0.219397,1.0756,0.300152,0.758367,0.454958,,2.84475,5.58996,5.39046,11.84000015258789,,,,,,,1093.7,5.666839378238342,1028,5.3264248704663215,4.39,3.94,3.65,3.41,3.21,3.01,2.82,2.61,2.34,3.84,3.64,3.5,3.38,3.28,3.18,3.08,2.96,2.81,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5502,9.3098,21.1234,3.14793,32,32,0,0,,198.055,812.033,182.664,77.1805,69.2737,17.5609,50.5743,0.4953,6.6733,191.361,8.69583,2.29819,3.78377,0.798,0.235657,0.0622811,0.17337608337402344,0.242008,1.17764,0.302462,0.747929,0.545382,,3.22254,4.70432,5.14912,25.65999984741211,,,,,,,976,4.929292929292929,964,4.8686868686868685,4.6,4.15,3.86,3.62,3.41,3.22,3.02,2.81,2.54,4.02,3.83,3.69,3.58,3.49,3.39,3.29,3.18,3.03,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.861,7.6883,17.7403,3.18998,27.54,27.54,0,0,,168.535,685.38,139.61,64.9438,59.7359,18.1269,44.2865,0.5229,8.6056,205.598,10.9792,2.36496,4.64246,0.968,0.299977,0.064616,0.23536096513271332,0.220731,1.09115,0.297197,0.750401,0.416542,,3.03503,4.15248,4.32281,39.09000015258789,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.71,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.94,"Chris Sale","10603",519242
"Logan Webb","SFG",12.6159,10.3718,20.7533,3.3148,32,32,0,0,,199.392,830.798,193.731,81.7233,73.4381,16.616,47.1769,0.7552,6.0499,187.378,8.45775,2.12944,3.97182,0.75,0.22554,0.056785,0.16875510290265083,0.249149,1.20821,0.30879,0.731394,0.547548,,3.13981,4.10886,3.93109,59.93000030517578,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.79,4.34,4.05,3.81,3.6,3.4,3.2,2.98,2.7,4.19,4,3.87,3.77,3.67,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Cole Ragans","KCR",11.7974,8.5568,17.3529,3.31013,29.16,29.16,0,0,,172.018,711.112,139.926,68.6979,63.2669,18.9602,62.2671,0.598,5.6349,210.676,11.0226,3.25782,3.38342,0.992,0.296262,0.087563,0.20869920402765274,0.217544,1.17542,0.29249,0.760013,0.398403,,3.30278,4.06645,4.11862,46.279998779296875,,,,,,,893.0999999999999,5.192441860465116,831,4.8313953488372094,4.79,4.3,3.97,3.71,3.48,3.27,3.06,2.83,2.53,4.18,3.96,3.81,3.68,3.57,3.46,3.34,3.21,3.04,"Cole Ragans","21846",666142
"Jacob deGrom","TEX",11.4007,9.1397,17.1277,3.52118,29.16,29.16,0,0,,174.797,715.795,152.535,73.6472,68.388,23.5976,39.8297,0.4402,5.3427,202.822,10.4429,2.05076,5.09223,1.215,0.283352,0.055644,0.22770780324935913,0.227452,1.1005,0.290266,0.745113,0.378878,,3.34476,4.04953,3.37993,48.630001068115234,,,,,,,873,4.988571428571428,834,4.765714285714286,5.03,4.52,4.18,3.92,3.68,3.46,3.24,3,2.69,4.43,4.19,4.02,3.88,3.76,3.64,3.52,3.38,3.19,"Jacob deGrom","10954",594798
"Sonny Gray","BOS",11.5573,9.9606,16.9879,3.69224,30.78,30.78,0,0,,181.357,757.232,171.241,80.8871,74.4015,21.1382,47.9002,0.5013,5.6603,189.678,9.41295,2.37709,3.95986,1.049,0.250489,0.063257,0.18723206222057343,0.243354,1.20834,0.304558,0.72939,0.450923,,3.44459,3.88205,3.47428,135.08999633789062,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.22,4.73,4.4,4.14,3.91,3.7,3.48,3.24,2.94,4.56,4.36,4.22,4.1,3.99,3.89,3.78,3.66,3.49,"Sonny Gray","12768",543243
"Dylan Cease","TOR",11.8904,9.3985,16.9304,3.53879,30.78,30.78,0,0,,177.809,746.471,149.425,75.6648,69.9145,21.1198,64.94,1.1317,5.6523,208.814,10.5693,3.287,3.21549,1.069,0.279735,0.086996,0.19273904711008072,0.221082,1.20559,0.287715,0.750553,0.381153,,3.52154,3.7563,3.24935,75.30999755859375,,,,,,,876.5000000000001,4.924157303370787,822,4.617977528089888,5.01,4.53,4.21,3.95,3.73,3.52,3.3,3.07,2.78,4.35,4.16,4.02,3.91,3.81,3.71,3.61,3.49,3.33,"Dylan Cease","18525",656302
"Framber Valdez","DET",11.9981,10.0362,19.3478,3.42869,30.78,30.78,0,0,,190.384,795.586,179.669,80.4547,72.5297,15.5057,62.016,0.4225,7.8493,176.127,8.32603,2.93168,2.84002,0.733,0.22138,0.0779501,0.14343000948429108,0.247573,1.26946,0.307371,0.732941,0.555109,,3.4446,3.72633,3.72387,85.4000015258789,,,,,,,883.2,4.648421052631579,884,4.652631578947369,4.95,4.48,4.17,3.93,3.71,3.5,3.3,3.07,2.78,4.32,4.13,3.99,3.88,3.78,3.69,3.58,3.47,3.32,"Framber Valdez","17295",664285
